"year","runtime","director","writer","genre"
1997,"80","nm0002416","\N","documentary"
1997,"108","nm0000824","nm0441750","crime"
1998,"123","nm0000484","nm0000101","musical"
1995,"111","nm0001382","nm0704164","action"
1995,"90","nm0644203","nm0077062","comedy"
1995,"111","nm0759207","nm0759207","drama"
1995,"99","nm0808807","nm0060103","drama"
1995,"97","nm0002132","nm0002132","comedy"
1996,"88","nm0089176","nm0498963","comedy"
1996,"87","nm0790715","nm0937748","comedy"
1996,"108","nm0001241","nm0358960","thriller"
1995,"135","nm0000142","nm0481418","romance"
1995,"92","nm2259353","nm0397411","comedy"
1995,"96","nm0134176","nm0211823","sci.fi"
1995,"95","nm0818465","nm0647592","children"
1995,"128","nm0000682","nm0000390","drama"
1995,"113","nm0589168","nm0223844","comedy"
1995,"97","nm0109359","nm0031976","children"
1994,"114","nm0562645","nm0000455","drama"
1995,"92","nm0225416","nm0084131","horror"
1994,"118","nm0141222","nm0734472","sci.fi"
1994,"106","nm0389591","nm0389591","romance"
1994,"104","nm0254632","nm0254632","comedy"
1994,"91","nm0505152","nm0211823","children"
1994,"83","nm0781842","nm0698493","comedy"
1994,"141","nm0000116","nm0000116","adventure"
1993,"94","nm0001756","nm0397411","comedy"
1993,"139","nm0000217","nm0000217","drama"
1994,"104","nm0000484","nm0211823","action"
1994,"88","nm0003031","nm0003031","children"
1993,"88","nm0192090","nm0192090","comedy"
1993,"130","nm0001532","nm0000948","action"
1993,"115","nm0000154","nm0390708","drama"
1993,"125","nm0001060","nm0228908","comedy"
1994,"108","nm0809321","nm0000184","mystery"
1993,"104","nm0000316","nm0000316","comedy"
1994,"95","nm0000691","nm0000691","horror"
1993,"102","nm0380705","nm0380705","action"
1993,"104","nm0417708","nm0004412","sci.fi"
1993,"105","nm0378893","nm0521739","adventure"
1994,"82","nm0790715","nm0345488","children"
1995,"90","nm0858525","nm0877425","comedy"
1990,"127","nm0958387","nm0748022","romance"
1989,"126","nm0000318","nm0004170","crime"
1940,"88","nm0414144","nm0670328","animation"
1996,"110","nm0000361","nm0462895","mystery"
1996,"93","nm0276169","nm0000175","horror"
1996,"81","nm0295007","nm0161003","comedy"
1995,"30","nm0661910","nm0661910","animation"
1996,"113","nm0000338","nm0218621","comedy"
1996,"114","nm0125803","nm0266673","comedy"
1996,"95","nm0001723","nm0001723","fantasy"
1996,"90","nm0762541","nm0777442","comedy"
1996,"87","nm0012155","nm0000709","horror"
1982,"92","nm0000907","nm0658850","comedy"
1975,"100","nm0865709","nm0081052","western"
1957,"83","nm0829038","nm0320564","children"
1961,"129","nm0842582","nm0842582","children"
1950,"74","nm0414144","nm0670328","animation"
1964,"139","nm0829038","nm0909556","musical"
1951,"75","nm0414144","nm0670328","animation"
1996,"120","nm0525303","nm0000636","romance"
1996,"81","nm0832309","nm0166256","animation"
1982,"115","nm0000229","nm0558953","fantasy"
1996,"85","nm0817770","nm0000175","horror"
1992,"102","nm0000209","nm0000209","comedy"
1986,"84","nm0793802","nm0095685","animation"
1962,"129","nm0612322","nm0285210","drama"
1971,"91","nm0000797","nm0383359","comedy"
1951,"92","nm0936404","nm0636002","sci.fi"
1933,"69","nm0564970","nm0436095","war"
1986,"116","nm0611683","nm0272511","adventure"
1940,"124","nm0414144","nm0670328","animation"
1988,"103","nm0499724","nm0914058","comedy"
1956,"98","nm0928208","nm0000636","sci.fi"
1969,"110","nm0001351","nm0001279","western"
1981,"97","nm0000484","nm0000484","horror"
1992,"95","nm0709752","nm0002211","horror"
1983,"105","nm0281507","nm0024388","horror"
1993,"91","nm0613981","nm0002211","horror"
1982,"104","nm0198765","nm0392792","horror"
1979,"117","nm0742341","nm0030663","horror"
2023,"90","nm1100565","nm0392792","horror"
1963,"119","nm0000033","nm0238898","horror"
1958,"86","nm0234893","nm0510989","horror"
1945,"78","nm0936404","nm0531878","horror"
1976,"116","nm0193303","nm0193303","horror"
1976,"98","nm0000361","nm0000175","horror"
1976,"111","nm0001149","nm0783544","horror"
1979,"143","nm0936404","nm0734472","sci.fi"
1989,"107","nm0000638","nm0734472","sci.fi"
1978,"110","nm0459170","nm0143558","musical"
1978,"116","nm0844358","nm0001940","horror"
1983,"99","nm0023469","nm0001940","horror"
1996,"98","nm0001378","nm0580559","drama"
1996,"107","nm0867262","nm0867262","action"
1997,"88","nm0240797","nm0270936","action"
1997,"86","nm0683578","nm0560469","children"
1995,"192","nm0000231","nm0000231","drama"
1995,"106","nm0740213","nm0367838","drama"
1995,"111","nm0000576","nm0000576","drama"
1995,"112","nm0911061","nm0000808","drama"
1992,"105","nm0000778","nm0261294","romance"
1994,"103","nm0000626","nm0000626","adventure"
1994,"119","nm0001501","nm0000519","drama"
1994,"111","nm0814085","nm0456017","children"
1993,"98","nm0001093","nm0001093","thriller"
1993,"121","nm0000134","nm0001590","drama"
1993,"114","nm0000770","nm0686233","drama"
1993,"188","nm0000265","nm0000265","drama"
1993,"130","nm0181902","nm0418883","western"
1996,"116","nm0001880","nm0242059","war"
1996,"103","nm0003418","nm0688279","fantasy"
1996,"79","nm0783139","nm0001094","animation"
1964,"95","nm0000040","nm0000040","war"
1996,"93","nm0000965","nm0388076","drama"
1996,"103","nm0933505","nm0363326","comedy"
1996,"98","nm0000362","nm0001094","children"
1940,"112","nm0002030","nm0829330","romance"
1958,"128","nm0000033","nm0092267","mystery"
1959,"136","nm0000033","nm0499626","thriller"
1960,"125","nm0000697","nm0000697","comedy"
1959,"121","nm0000697","nm0000697","crime"
1942,"102","nm0002031","nm0258493","war"
1941,"100","nm0001379","nm0001379","film.noir"
1964,"170","nm0002030","nm0503585","musical"
1954,"113","nm0000697","nm0000697","romance"
1953,"118","nm0943758","nm0874308","romance"
1950,"110","nm0000697","nm0000697","film.noir"
1946,"102","nm0000033","nm0372942","film.noir"
1955,"106","nm0000033","nm0178785","romance"
1938,"102","nm0002031","nm0589316","adventure"
1955,"118","nm0001415","nm0651585","drama"
1934,"91","nm0886754","nm0329304","mystery"
1940,"92","nm0001328","nm0372942","comedy"
1956,"167","nm0027183","nm0688117","adventure"
1946,"130","nm0001008","nm0329304","drama"
1938,"102","nm0001328","nm0629580","comedy"
1951,"105","nm0001379","nm0001379","war"
1958,"108","nm0112218","nm0112218","drama"
1941,"64","nm0414144","nm0670328","animation"
1971,"82","nm0000095","nm0000095","war"
1972,"110","nm0006916","nm0488373","drama"
1967,"111","nm0671957","nm0001801","crime"
1954,"105","nm0000033","nm0461425","mystery"
1955,"111","nm0712947","nm0712947","drama"
1951,"122","nm0001415","nm0931783","drama"
1996,"130","nm0001232","nm0018735","drama"
1989,"103","nm0006487","nm0006487","drama"
1960,"128","nm0836328","nm0000041","western"
1962,"218","nm0000180","nm0933858","war"
1987,"128","nm0000694","nm0000694","romance"
1949,"104","nm0715346","nm0000080","mystery"
1977,"93","nm0000095","nm0000095","romance"
1981,"149","nm0000583","nm0000583","war"
1983,"111","nm0287025","nm0287025","comedy"
1979,"96","nm0000095","nm0000095","romance"
1990,"115","nm0001053","nm0001053","drama"
1948,"126","nm0001379","nm0001379","adventure"
1963,"172","nm0836328","nm0108595","war"
1978,"183","nm0001047","nm0000658","war"
1986,"107","nm0000464","nm0000464","comedy"
1967,"127","nm0742341","nm0237543","comedy"
1940,"125","nm0000122","nm0000122","comedy"
1946,"114","nm0001328","nm0102824","film.noir"
1959,"212","nm0943758","nm0027173","adventure"
1982,"191","nm0000277","nm0109300","drama"
1984,"141","nm0423646","nm0732430","war"
1985,"101","nm0002120","nm0002120","drama"
1975,"129","nm0001379","nm0001379","adventure"
1996,"105","nm0382956","nm0382956","romance"
1996,"117","nm0619762","nm0471247","romance"
1996,"87","nm0609549","nm0609549","mystery"
1997,"101","nm0005726","nm0569474","drama"
1997,"100","nm0001162","nm0330565","romance"
1996,"97","nm0230695","nm0173928","drama"
1991,"104","nm0001814","nm0000636","drama"
1997,"94","nm0089940","nm0879318","animation"
1997,"98","nm0893659","nm0726472","children"
1995,"110","nm0747849","nm0521739","action"
1995,"101","nm0027271","nm0095460","adventure"
1995,"81","nm0300265","nm0560329","animation"
1995,"175","nm0500988","nm0401076","musical"
1995,"115","nm0001219","nm0003298","crime"
1995,"100","nm0000127","nm0000552","romance"
1996,"108","nm0000247","nm0003662","thriller"
1995,"99","nm0743239","nm0712575","crime"
1994,"95","nm0003423","nm0003369","fantasy"
1995,"139","nm0001994","nm0788991","war"
1995,"128","nm0001532","nm0378144","thriller"
1995,"109","nm0000850","nm0000850","horror"
1995,"108","nm0002044","nm0271022","sci.fi"
1995,"102","nm0000778","nm0436543","romance"
1995,"135","nm0721817","nm0878638","adventure"
1995,"89","nm0620290","nm0620290","drama"
1995,"98","nm0001353","nm0001353","western"
1994,"111","nm0179216","nm0064530","musical"
1994,"99","nm0001392","nm0001392","fantasy"
1994,"123","nm0001403","nm0723351","horror"
1995,"89","nm0331998","nm0506597","fantasy"
1994,"123","nm0000110","nm0791217","horror"
1995,"108","nm0000600","nm0601881","western"
1995,"180","nm0276169","nm0000175","horror"
1995,"98","nm0192090","nm0192090","horror"
1995,"98","nm0000118","nm0798103","horror"
1994,"141","nm0637518","nm0001873","adventure"
1994,"112","nm0000127","nm0000127","horror"
1994,"116","nm0000957","nm0003662","romance"
1994,"125","nm0001566","nm0365659","horror"
1994,"191","nm0001410","nm0001410","western"
1993,"108","nm0000824","nm0467942","thriller"
1994,"121","nm0394280","nm0061337","thriller"
1993,"87","nm0001206","nm0820669","horror"
1993,"107","nm0528337","nm0129310","mystery"
1994,"116","nm0917992","nm0304665","western"
1993,"113","nm0001317","nm0289833","crime"
1993,"88","nm0006625","nm0000101","sci.fi"
1993,"115","nm0104193","nm0914058","sci.fi"
1993,"91","nm0005348","nm0641714","comedy"
1995,"99","nm0003355","nm0003355","romance"
1993,"117","nm0784061","nm0582481","thriller"
1993,"121","nm0001005","nm0001005","romance"
1993,"110","nm0575389","nm0377088","crime"
1993,"101","nm0002140","nm0003031","children"
1993,"95","nm0711114","nm0006997","comedy"
1994,"102","nm0764776","nm0878638","action"
1993,"112","nm0576282","nm0576282","mystery"
1991,"84","nm0873779","nm0560329","animation"
1969,"145","nm0001603","nm0338396","western"
1996,"85","nm0944892","nm0040643","horror"
1996,"129","nm0387706","nm0081189","thriller"
1995,"94","nm0893895","nm0893895","mystery"
1993,"134","nm0005917","nm0005917","war"
1995,"105","nm0003506","nm0003506","romance"
1996,"116","nm0001716","nm0840380","thriller"
1996,"91","nm0873779","nm0560329","animation"
1996,"115","nm0751080","nm0338396","thriller"
1996,"98","nm0209667","nm0209667","comedy"
1993,"104","nm0867262","nm0867262","action"
1997,"105","nm0004305","nm0214518","children"
1943,"170","nm0939992","nm0002133","war"
1951,"114","nm0591486","nm0503585","musical"
1954,"112","nm0000033","nm0371088","mystery"
1934,"105","nm0001008","nm0728307","comedy"
1944,"113","nm0591486","nm0106505","musical"
1950,"138","nm0000581","nm0000581","drama"
1940,"130","nm0000033","nm0531878","romance"
1945,"111","nm0000033","nm0372942","mystery"
1950,"92","nm0591486","nm0329304","comedy"
1958,"115","nm0591486","nm0503585","musical"
1944,"88","nm0541149","nm0388755","film.noir"
1937,"132","nm0001008","nm0728307","drama"
1936,"94","nm0478441","nm0753452","comedy"
1956,"201","nm0828419","nm0272209","drama"
1935,"86","nm0000033","nm0067308","thriller"
1968,"96","nm0001681","nm0001681","horror"
1930,"104","nm0903049","nm0509510","drama"
1955,"115","nm0517597","nm0408718","drama"
1996,"118","nm0000776","nm0006904","thriller"
1996,"113","nm0001226","nm0001279","drama"
1955,"93","nm0287988","nm0085648","western"
1960,"126","nm0002175","nm0370328","children"
1994,"102","nm0213100","nm0805965","children"
1944,"71","nm0272568","nm0670328","animation"
1963,"79","nm0314671","nm0670328","animation"
1948,"79","nm0527217","nm0670328","children"
1991,"143","nm0721817","nm0219720","drama"
1996,"147","nm0001469","nm0001469","crime"
1982,"134","nm0001175","nm0001175","musical"
1965,"160","nm0001175","nm0001175","musical"
