"year","runtime","director","writer","unknown","action","adventure","animation","children","comedy","crime","documentary","drama","fantasy","film.noir","horror","musical","mystery","romance","sci.fi","thriller","war","western"
1994,"154","nm0000233","nm0000233",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1994,"105","nm0000944","nm0569568",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"133","nm0000602","nm0001921",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"99","nm0001425","nm0001425",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,"94","nm0001425","nm0001425",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"92","nm0001425","nm0001425",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"116","nm0000386","nm0000386",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1994,"97","nm0664756","nm0748874",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"142","nm0001104","nm0000175",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,"118","nm0002120","nm0373282",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"103","nm0005509","nm0495863",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,"86","nm0001723","nm0001723",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"102","nm0001639","nm0639335",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1994,"142","nm0000709","nm0744839",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1994,"117","nm0001565","nm0193485",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,"88","nm0021249","nm0560329",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1994,"101","nm0751080","nm0108273",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1994,"127","nm0001149","nm0001279",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1965,"83","nm0000540","nm0000540",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"115","nm0007366","nm0007366",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1993,"144","nm0000361","nm0462895",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1993,"154","nm0001628","nm0001801",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1993,"112","nm0934578","nm0907929",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,"130","nm0001112","nm0835732",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1993,"86","nm0000720","nm0698493",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1994,"111","nm0001053","nm0001053",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1993,"127","nm0000229","nm0000341",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1993,"111","nm0000110","nm0000636",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,"109","nm0650233","nm0254645",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1994,"97","nm0001130","nm0481418",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"134","nm0412465","nm0695609",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,"109","nm0001873","nm0001873",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,"105","nm0001188","nm0001188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1982,"117","nm0000631","nm0672459",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1993,"93","nm0772095","nm0289219",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1993,"76","nm0783139","nm0003031",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1993,"119","nm0001716","nm0000233",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1995,"88","nm0001754","nm0001754",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1990,"103","nm0001060","nm0000455",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"90","nm0166256","nm0560329",0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1991,"137","nm0000116","nm0000116",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1990,"181","nm0000126","nm0086658",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1991,"118","nm0001129","nm0848217",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1937,"83","nm0414144","nm0780799",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1996,"98","nm0001053","nm0001053",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1981,"86","nm0754678","nm0639321",0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1970,"78","nm0718627","nm0314788",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"82","nm0754678","nm0500858",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1995,"92","nm0079471","nm0079471",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"93","nm0528718","nm0106563",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"107","nm0154819","nm0092267",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1996,"123","nm0219720","nm0219720",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"89","nm0538614","nm0386780",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"73","nm0540075","nm0064546",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1995,"107","nm0934578","nm0467942",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1996,"97","nm0499724","nm0920108",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1996,"95","nm0788454","nm0115202",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"135","nm0710919","nm0140643",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"106.972842486421","nm0243411","\N",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"89","nm0859920","nm0859920",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1995,"105","nm0772259","nm0102903",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"136","nm0000881","nm0177018",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,"113","nm0000957","nm0000341",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1994,"105","nm0595131","nm0595131",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996,"115","nm0000921","nm0000921",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,"145","nm0000386","nm0000386",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1996,"96","nm0001774","nm0392648",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"110","nm0001392","nm0001392",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1996,"135","nm0000626","nm0000626",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1996,"123","nm0005509","nm0224187",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1996,"117","nm0957453","nm0957453",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1972,"175","nm0000338","nm0000338",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1992,"96","nm0867262","nm0530853",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,"109","nm0905152","nm0905152",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
1996,"116","nm0000265","nm0000265",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,"115","nm0001175","nm0001986",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1939,"102","nm0281808","nm0388755",0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1939,"238","nm0002030","nm0372942",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1941,"119","nm0000080","nm0000080",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1968,"149","nm0000040","nm0000040",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
1939,"129","nm0001008","nm0118227",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"109","nm0001714","nm0001804",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"104","nm0509409","nm0109359",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,"108","nm0829038","nm0909556",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"84","nm0242271","nm0003031",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,"127","nm0281507","nm0894523",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1971,"117","nm0829038","nm0909556",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1965,"172","nm0936404","nm0499626",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1988,"132","nm0001532","nm0211823",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1992,"108","nm0502577","nm0000175",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1996,"103","nm0001024","nm0001024",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"121","nm0001317","nm0000948",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,"110","nm0394280","nm0001279",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"123","nm0935863","nm0024925",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"96","nm0510731","nm0269463",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1971,"100","nm0835799","nm0001094",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,"89","nm0000095","nm0000095",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1988,"108","nm0000092","nm0000092",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,"94","nm0001402","nm0000092",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,"100","nm0001915","nm0075044",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1992,"99","nm0000233","nm0000233",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1986,"120","nm0000231","nm0000231",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1989,"97","nm0467646","nm0458228",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"127","nm0000682","nm0000390",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1992,"100","nm0001226","nm0000519",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1986,"109","nm0001716","nm0143596",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1981,"109","nm0041932","nm0860125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1975,"113","nm0001175","nm0001175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,"140","nm0000116","nm0000116",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1986,"120","nm0001945","nm0001945",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1986,"113","nm0001945","nm0001945",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1980,"109","nm0956052","nm0583600",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,"91","nm0000416","nm0000092",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"29","nm0661910","nm0661910",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,"155","nm0868153","nm0868153",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1991,"99","nm0000466","nm0000466",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1980,"124","nm0449984","nm0000184",0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
1987,"98","nm0001661","nm0001279",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1981,"115","nm0000229","nm0000184",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,"132","nm0000416","nm0000416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1986,"137","nm0000116","nm0000116",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1966,"161","nm0001466","nm0001466",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1957,"96","nm0001486","nm0741627",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1971,"136","nm0000040","nm0000040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1979,"147","nm0000338","nm0000338",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1983,"131","nm0549658","nm0000184",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1990,"145","nm0000217","nm0000217",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1979,"117","nm0000631","nm0639321",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1992,"81","nm0000600","nm0000600",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1960,"109","nm0000033","nm0825010",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1980,"133","nm0000484","nm0000101",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1974,"202","nm0000338","nm0000338",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1987,"116","nm0000040","nm0000040",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1989,"23","nm0661910","nm0661910",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,"137","nm0000110","nm0000636",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1984,"160","nm0001232","nm0537004",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1980,"129","nm0000217","nm0001707",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1983,"193","nm0442241","nm0442241",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1973,"129","nm0001351","nm0911486",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1984,"107","nm0000116","nm0000116",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1989,"128","nm0001837","nm0776114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1967,"106","nm0001566","nm0377750",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1990,"117","nm0000108","nm0000108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1957,"161","nm0000180","nm0933858",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1980,"146","nm0000040","nm0000175",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1987,"84","nm0000600","nm0000600",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1993,"101","nm0000601","nm0000601",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1992,"130","nm0000142","nm0672459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1985,"116","nm0000709","nm0000709",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1970,"172","nm0769874","nm0000338",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1988,"124","nm0960028","nm0368051",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1990,"137","nm0710919","nm0140643",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1974,"106","nm0000316","nm0000316",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1984,"82","nm0001661","nm0001302",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1989,"127","nm0000229","nm0000184",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,"116","nm0000265","nm0488057",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1988,"171","nm0442241","nm0140643",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1985,"117","nm0412465","nm0695609",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1982,"95","nm0000570","nm0914166",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1989,"107","nm0004675","nm0004675",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1989,"95","nm0001661","nm0001188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1992,"128","nm0000338","nm0831290",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1991,"128","nm0000217","nm0834338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1984,"91","nm0000127","nm0000127",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1996,"126","nm0000659","nm0481418",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1996,"159","nm0001885","nm0001885",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"111","nm0000408","nm0734472",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996,"135","nm0000671","nm0000671",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1996,"102","nm0496312","nm0275260",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"103","nm0378893","nm0000455",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,"124","nm0001317","nm0211823",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1991,"110","nm0583292","nm0734472",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1982,"113","nm0583292","nm0734472",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1984,"105","nm0000559","nm0734472",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1986,"119","nm0000559","nm0734472",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1992,"126","nm0000318","nm0004170",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1988,"107","nm0128883","nm0299301",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1992,"103","nm0001112","nm0493369",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,"124","nm0000229","nm0001940",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1996,"106","nm0000318","nm0114083",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1996,"106","nm0668247","nm0668247",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"139","nm0001081","nm0001081",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1987,"94","nm0001053","nm0001053",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"126","nm0004675","nm0004675",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1996,"81","nm0221133","nm0431918",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"112","nm0000520","nm0049721",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1996,"105","nm0841232","nm0006664",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"105","nm0664756","nm0262595",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"121","nm0000806","nm0081189",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1997,"111","nm0001587","nm0418883",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1997,"113","nm0003620","nm0003620",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1997,"99","nm0003941","nm0200164",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
